"state","s_fips","county","c_fips","ttl_pop","male_pop","female_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income"
"MARYLAND",24,"HOWARD COUNTY",27,318855,155961,162894,38.8,37.6,39.8,181711,60232,846,57613,84,4209,14160,165862,22012,15849,1254,121160
"MASSACHUSETTS",25,"WORCESTER COUNTY",27,824772,406642,418130,40.2,38.9,41.3,690146,41366,2181,40508,288,26623,23660,629988,94778,60158,4216,74679
"MICHIGAN",26,"CASS COUNTY",27,51523,25836,25687,45.2,44.3,46,45779,2666,555,431,0,535,1557,44376,2002,1403,12,55107
"MINNESOTA",27,"CLAY COUNTY",27,63446,31334,32112,32.6,32.1,33,57471,2332,1125,803,77,341,1297,55305,2872,2166,26,65269
"MISSISSIPPI",28,"COAHOMA COUNTY",27,23255,10743,12512,34.8,32,36.9,4860,18050,39,115,0,25,166,4834,86,26,20,29121
"MISSOURI",29,"CALLAWAY COUNTY",27,44889,22886,22003,38.6,37.1,40.3,41309,1969,243,366,148,26,828,40487,940,822,28,56938
"MONTANA",30,"FERGUS COUNTY",27,11221,5742,5479,45.3,44.3,46.4,10602,15,156,66,209,52,121,10555,104,47,0,50540
"NEBRASKA",31,"CEDAR COUNTY",27,8498,4327,4171,42.7,40.8,45.1,8279,13,68,5,0,80,53,8195,175,84,0,61869
"NEVADA",32,"PERSHING COUNTY",27,6615,4243,2372,42.1,41.9,43.1,5305,253,222,70,17,439,309,4310,1617,995,19,50491
"NEW JERSEY",34,"MORRIS COUNTY",27,493379,242146,251233,42.8,41.4,44.1,402269,17023,734,50794,96,11363,11100,352199,65683,50070,1348,115527
"NEW MEXICO",35,"LINCOLN COUNTY",27,19461,9554,9907,50.9,50,51.9,18843,104,113,13,0,163,225,12632,6458,6211,3,46216
"NEW YORK",36,"DUTCHESS COUNTY",27,293754,146061,147693,42.2,40.9,43.7,229746,30970,934,10413,155,11222,10314,209941,35812,19805,2183,81219
"NORTH CAROLINA",37,"CALDWELL COUNTY",27,81884,40432,41452,44.6,43.3,46,72802,3779,299,415,36,2912,1641,71489,4488,1313,53,44511
"NORTH DAKOTA",38,"EDDY COUNTY",27,2301,1110,1191,45.8,43.6,46.5,2097,0,122,0,0,0,82,2068,29,29,0,54868
"OHIO",39,"CLINTON COUNTY",27,41957,20750,21207,39.4,38.5,40.5,39562,861,27,200,10,154,1143,39165,677,397,4,52815
"ARIZONA",4,"YUMA COUNTY",27,209468,107841,101627,34.6,33.1,36.4,159864,4533,3234,2777,167,33190,5703,64877,133549,94987,1015,45243
"OKLAHOMA",40,"CLEVELAND COUNTY",27,279274,139416,139858,34.2,33.1,35.3,216953,13123,11708,12443,188,4668,20191,200328,24275,16625,196,64016
"OREGON",41,"HOOD RIVER COUNTY",27,23209,11598,11611,39.3,39.3,39.3,20679,136,152,383,0,996,863,14790,7293,5889,0,65679
"PENNSYLVANIA",42,"CENTRE COUNTY",27,161960,85202,76758,32.3,31.3,33.7,141849,6173,107,9923,52,922,2934,138374,4777,3475,368,60403
"SOUTH CAROLINA",45,"CLARENDON COUNTY",27,33957,16739,17218,45.1,41.9,48.4,16729,16124,30,201,9,414,450,16205,1054,524,86,40900
"SOUTH DAKOTA",46,"CLAY COUNTY",27,13957,6833,7124,24.9,25.3,24.6,12357,260,423,403,0,187,327,12184,419,173,28,50724
"TENNESSEE",47,"CLAY COUNTY",27,7654,3669,3985,47.3,46.7,49.1,7258,183,0,8,0,137,68,7226,200,32,0,32167
"TEXAS",48,"BELL COUNTY",27,348574,173837,174737,31,29.7,32.5,220872,84435,1969,10282,2392,9716,18908,159545,86533,61327,9439,54884
"UTAH",49,"MILLARD COUNTY",27,12854,6602,6252,35.4,35.7,35,11562,30,145,148,16,756,197,10669,1662,893,9,62242
"ARKANSAS",5,"COLUMBIA COUNTY",27,23776,11407,12369,35.7,33,36.8,14396,8592,48,254,0,243,243,14093,645,303,52,36193
"VERMONT",50,"WINDSOR COUNTY",27,55275,27097,28178,48,47.1,48.9,52867,406,91,482,38,348,1043,52316,929,551,11,60987
"VIRGINIA",51,"BUCHANAN COUNTY",27,21788,10958,10830,46.8,45,48.5,20678,592,53,225,0,107,133,20666,106,12,4,31956
"WASHINGTON",53,"GRAYS HARBOR COUNTY",27,72779,37317,35462,44,42.2,45.6,63802,859,3075,1096,200,583,3164,57795,7246,6007,46,51240
"WEST VIRGINIA",54,"HAMPSHIRE COUNTY",27,23309,11874,11435,47.2,46.9,47.4,22627,258,71,104,0,10,239,22313,340,314,13,47857
"WISCONSIN",55,"DODGE COUNTY",27,87715,45623,42092,42.5,41.3,44,82065,2472,323,571,31,638,1615,78853,4202,3212,31,60652
"WYOMING",56,"NIOBRARA COUNTY",27,2422,1091,1331,45.5,46.8,43.8,2277,14,90,0,25,3,13,2195,95,82,0,39150
"CALIFORNIA",6,"INYO COUNTY",27,17977,9062,8915,45.8,45.4,46.1,14170,153,2028,350,34,392,850,11173,4020,2997,12,57316
"COLORADO",8,"CUSTER COUNTY",27,4776,2442,2334,59.7,59.7,59.8,4441,138,44,0,0,38,115,4067,440,374,0,53119
"GEORGIA",13,"TELFAIR COUNTY",271,16035,9238,6797,41.5,40.1,42.9,8349,6615,13,17,0,867,174,7848,1829,501,442,32405
"TEXAS",48,"KINNEY COUNTY",271,3659,2170,1489,49.8,44.1,56.4,3521,5,1,0,0,131,1,1485,2169,2036,0,26738
"GEORGIA",13,"TERRELL COUNTY",273,8737,4166,4571,41.1,39.3,43.2,3164,5220,7,271,0,41,34,3111,246,53,143,34768
"TEXAS",48,"KLEBERG COUNTY",273,30974,15656,15318,28.3,27.9,28.6,27421,1018,68,695,0,1076,696,6255,22574,21166,108,43730
"GEORGIA",13,"THOMAS COUNTY",275,44630,21262,23368,40.4,38,42.2,26765,16240,60,74,23,414,1054,25712,1657,1053,68,43740
"ALASKA",2,"WRANGELL CITY AND BOROUGH",275,2502,1357,1145,49.4,49.7,49.1,1577,1,612,18,9,34,251,1548,126,29,0,53894
"TEXAS",48,"KNOX COUNTY",275,3705,1845,1860,39.5,38.3,42.8,3142,206,9,40,0,213,95,2157,1272,985,32,48798
"GEORGIA",13,"TIFT COUNTY",277,40541,19674,20867,36.2,34.1,38.4,26142,12007,105,559,0,1121,607,22644,4776,3498,48,45639
"TEXAS",48,"LAMAR COUNTY",277,49611,23770,25841,40.7,39.3,42.1,40350,6358,283,384,71,250,1915,36920,3902,3430,34,45117
"GEORGIA",13,"TOOMBS COUNTY",279,26972,12476,14496,36.4,36.3,36.6,17156,6961,3,245,0,2152,455,16247,3153,909,70,40175
"TEXAS",48,"LAMB COUNTY",279,13123,6583,6540,36.4,34,38.3,11819,515,50,73,0,320,346,5158,7291,6661,123,45111
"NEW MEXICO",35,"LOS ALAMOS COUNTY",28,18625,9463,9162,42.3,40.5,43.5,15929,107,197,926,0,528,938,13377,3346,2552,0,121324
"GEORGIA",13,"TOWNS COUNTY",281,11617,5464,6153,54,50.7,55.9,11140,173,41,60,0,90,113,10930,318,210,26,48219
"TEXAS",48,"LAMPASAS COUNTY",281,20862,10426,10436,43.1,41.8,44.6,18212,961,132,240,98,434,785,15143,4052,3069,57,60772
"ALASKA",2,"YAKUTAT CITY AND BOROUGH",282,649,356,293,36.9,40.4,33.9,293,5,251,32,8,6,54,281,50,12,0,71607
"GEORGIA",13,"TREUTLEN COUNTY",283,6795,3495,3300,40.1,39.1,42.6,4960,1792,0,0,0,19,24,4896,90,64,0,32241
"TEXAS",48,"LA SALLE COUNTY",283,7416,4322,3094,36.5,34.8,36.9,6454,108,0,12,0,566,276,982,6236,5472,0,50151
"GEORGIA",13,"TROUP COUNTY",285,69919,33401,36518,36.4,34.9,38,40778,25307,209,1586,0,830,1209,39347,2572,1431,62,45649
"TEXAS",48,"LAVACA COUNTY",285,20021,9697,10324,43.4,42.7,44.2,15747,1281,45,94,5,2266,583,14717,3785,1030,47,54403
"GEORGIA",13,"TURNER COUNTY",287,7943,3801,4142,40.3,41.1,39.8,4550,3241,0,61,0,79,12,4269,379,281,41,37039
"TEXAS",48,"LEE COUNTY",287,17058,8530,8528,41.1,40.8,41.6,13945,1917,0,182,0,846,168,10804,4040,3141,18,54744
"GEORGIA",13,"TWIGGS COUNTY",289,8229,4038,4191,45.7,44.7,47.5,4589,3526,0,17,0,0,97,4530,59,59,0,34879
"TEXAS",48,"LEON COUNTY",289,17225,8569,8656,44.3,42.6,45.9,15331,1173,107,138,55,269,152,13113,2509,2218,18,43045
"ALABAMA",1,"CLEBURNE COUNTY",29,14916,7309,7607,43.1,42.2,44.5,14000,410,14,3,0,198,291,13826,367,174,0,44741
"FLORIDA",12,"DIXIE COUNTY",29,16589,9289,7300,46.5,44.8,50,14333,1474,2,38,20,254,468,13948,674,385,21,39828
"GEORGIA",13,"BRYAN COUNTY",29,37063,18476,18587,34.6,33.5,35.8,28542,5340,161,529,28,887,1576,27076,2624,1466,207,72624
"IDAHO",16,"CARIBOU COUNTY",29,6953,3570,3383,36.9,37,36.9,6636,0,11,4,0,139,163,6377,405,259,0,59053
"ILLINOIS",17,"COLES COUNTY",29,51353,24877,26476,35.7,35.1,36.1,47722,2019,111,625,20,104,752,46691,1300,1031,33,46202
"INDIANA",18,"DEARBORN COUNTY",29,49479,24658,24821,42.5,42,43,48102,431,50,279,14,137,466,47567,646,535,20,68658
"IOWA",19,"CASS COUNTY",29,13091,6457,6634,44.9,43.5,48.3,12695,26,70,43,18,79,160,12475,354,220,0,50187
"KANSAS",20,"CLOUD COUNTY",29,8938,4452,4486,40.8,38.9,43.4,8513,175,19,8,0,70,153,8314,283,199,7,45373
"KENTUCKY",21,"BULLITT COUNTY",29,80171,40070,40101,40.4,39.3,41.3,76851,886,199,580,17,413,1225,75689,1608,1162,81,63348
"LOUISIANA",22,"CONCORDIA PARISH",29,19778,10049,9729,37.7,35.3,41.7,11433,8133,1,29,0,134,48,11260,307,173,6,32500
"MAINE",23,"WASHINGTON COUNTY",29,31491,15468,16023,48.1,47.4,48.8,28604,244,1665,149,9,149,671,28165,743,439,111,41347
"MARYLAND",24,"KENT COUNTY",29,19536,9294,10242,48.1,45.9,50,15774,2787,26,228,6,266,449,15187,859,587,17,58598
"MICHIGAN",26,"CHARLEVOIX COUNTY",29,26188,12974,13214,48.6,47.7,49.5,24951,122,410,129,16,23,537,24549,523,402,11,55760
"MINNESOTA",27,"CLEARWATER COUNTY",29,8821,4514,4307,42.3,40.6,43.8,7568,16,734,42,2,18,441,7469,191,99,0,50386
"MISSISSIPPI",28,"COPIAH COUNTY",29,28501,13601,14900,38.5,37.1,39.5,12849,14698,6,108,0,449,391,12509,902,340,0,42151
"MISSOURI",29,"CAMDEN COUNTY",29,45466,22422,23044,51.5,51.3,51.9,43778,364,262,139,0,276,647,42853,1242,925,29,53478
"MONTANA",30,"FLATHEAD COUNTY",29,99899,49898,50001,42.2,41.3,43.1,93989,440,1528,698,47,947,2250,92665,2829,1324,98,56182
"NEBRASKA",31,"CHASE COUNTY",29,3783,1833,1950,43.5,43.4,43.9,3758,2,0,10,0,0,13,3293,465,465,0,57009
"NEVADA",32,"STOREY COUNTY",29,3988,2108,1880,50.9,52,50.7,3494,67,14,37,0,9,367,3374,129,120,0,66292
"NEW JERSEY",34,"OCEAN COUNTY",29,596415,287757,308658,42.7,40,45.4,542186,18465,396,11175,263,13702,10228,504971,54932,37215,1955,70909
"NEW MEXICO",35,"LUNA COUNTY",29,24083,12026,12057,37.1,35.4,39.3,22231,381,228,199,0,740,304,7108,16151,15123,65,29360
"NEW YORK",36,"ERIE COUNTY",29,919355,444825,474530,40.3,38.3,42.1,715409,123742,4634,32793,289,20349,22139,694067,50599,21342,4104,58121
"NORTH CAROLINA",37,"CAMDEN COUNTY",29,10551,5587,4964,41,39.2,45,8718,1460,12,189,13,28,131,8489,308,229,0,64572
"NORTH DAKOTA",38,"EMMONS COUNTY",29,3310,1684,1626,50.9,52.1,49.5,3182,0,3,36,0,5,84,3161,52,21,0,55902
"OHIO",39,"COLUMBIANA COUNTY",29,103190,52098,51092,44.1,42.6,46.1,97715,2112,149,191,7,870,2146,96921,1833,794,63,48345
"OKLAHOMA",40,"COAL COUNTY",29,5581,2813,2768,42,39.6,44.2,3909,11,559,24,0,95,983,3817,260,92,0,40938
"OREGON",41,"JACKSON COUNTY",29,216574,105742,110832,42.6,41.3,44.1,197752,1486,2740,2837,727,3068,7964,175058,27778,22694,24,53412
"PENNSYLVANIA",42,"CHESTER COUNTY",29,519560,255927,263633,40.4,39.3,41.5,440431,30438,594,28448,126,7577,11946,412720,38522,27711,1292,100214
"SOUTH CAROLINA",45,"COLLETON COUNTY",29,37585,17952,19633,42.5,40.7,44.1,21523,14411,312,54,0,962,323,21273,1205,250,36,36324
"SOUTH DAKOTA",46,"CODINGTON COUNTY",29,28026,14135,13891,39.1,38.4,40,26425,219,689,151,14,2,526,25997,657,428,0,56376
"TENNESSEE",47,"COCKE COUNTY",29,35552,17255,18297,45.2,44.3,45.9,33687,662,328,67,41,20,747,33154,837,533,168,36716
"TEXAS",48,"BEXAR COUNTY",29,1952843,964179,988664,33.6,32.4,34.9,1549704,149706,14054,55742,2288,115334,66015,540436,1175975,1009268,10979,57157
"UTAH",49,"MORGAN COUNTY",29,11664,5983,5681,32.2,30.4,32.9,11250,90,11,67,38,80,128,11076,338,174,0,91341
"ARKANSAS",5,"CONWAY COUNTY",29,20858,10154,10704,42.5,40.7,43.5,17760,2167,53,69,0,39,770,17017,818,743,27,42802
"VIRGINIA",51,"BUCKINGHAM COUNTY",29,17059,9363,7696,43.5,41.3,45.9,10506,5885,118,28,0,266,256,10438,411,68,56,49025
"WASHINGTON",53,"ISLAND COUNTY",29,82866,41393,41473,44.2,41,47.1,70072,2603,840,4046,316,1114,3875,65595,6413,4477,83,68604
"WEST VIRGINIA",54,"HANCOCK COUNTY",29,29383,14178,15205,46.8,45.2,48.3,27901,578,13,136,6,0,749,27548,460,353,30,45763
"WISCONSIN",55,"DOOR COUNTY",29,27472,13489,13983,53,51.7,54.1,26447,222,248,137,0,166,252,25777,859,670,45,61560
"WYOMING",56,"PARK COUNTY",29,29148,14347,14801,44.5,44.2,44.8,27618,198,297,155,0,291,589,26539,1586,1079,2,63582
"CALIFORNIA",6,"KERN COUNTY",29,887641,454843,432798,31.6,31.1,32.2,660147,48550,8969,42100,1678,95165,31032,303225,473374,356922,2789,53350
"COLORADO",8,"DELTA COUNTY",29,30565,15453,15112,47.3,44.8,50.5,28866,367,269,323,0,273,467,24857,4649,4009,190,45269
"ALASKA",2,"YUKON-KOYUKUK CENSUS AREA",290,5377,2879,2498,35.2,35.7,34.3,1223,4,3731,38,2,8,371,1159,143,64,0,41413
"GEORGIA",13,"UNION COUNTY",291,23288,11350,11938,54.3,52.7,55.5,22580,173,128,72,0,31,304,21859,771,721,0,50021
"TEXAS",48,"LIBERTY COUNTY",291,83702,41320,42382,35.5,34.5,36.2,67404,8273,496,439,13,6215,862,52983,20788,14421,34,51494
"GEORGIA",13,"UPSON COUNTY",293,26236,12482,13754,42.1,39.8,42.9,17868,7290,167,119,210,144,438,17634,606,234,170,37640
"TEXAS",48,"LIMESTONE COUNTY",293,23417,12010,11407,39.9,38.2,42.8,18013,4037,399,177,67,458,266,13735,5130,4278,92,44418
"GEORGIA",13,"WALKER COUNTY",295,69039,34210,34829,41.4,39.1,43.6,63519,2840,118,565,9,495,1493,62742,1531,777,0,46157
"TEXAS",48,"LIPSCOMB COUNTY",295,3398,1712,1686,34.7,33.9,39.3,2779,18,65,66,0,336,134,2124,1086,655,0,59091
"GEORGIA",13,"WALTON COUNTY",297,91442,44379,47063,38.7,37.3,39.8,70869,16177,121,1255,25,1493,1502,68250,4014,2619,57,61599
"TEXAS",48,"LIVE OAK COUNTY",297,12139,6707,5432,42.2,38.3,44.8,11326,279,34,173,0,193,134,6804,4854,4522,10,53848
"GEORGIA",13,"WARE COUNTY",299,35593,17921,17672,39.5,37.4,41.8,23071,10739,200,374,23,460,726,22547,1461,524,117,36869
"TEXAS",48,"LLANO COUNTY",299,21047,10356,10691,57.4,55.9,58.4,19456,143,306,65,0,484,593,18192,2187,1264,3,53411
"ALABAMA",1,"BALDWIN COUNTY",3,212830,103496,109334,43,41.8,44.4,183471,19718,1645,1969,9,2429,3589,176803,9711,6668,193,58320
"DELAWARE",10,"NEW CASTLE COUNTY",3,556165,269189,286976,38.4,36.9,39.9,357185,139960,1663,30704,182,11877,14594,319463,55302,37722,3409,73892
"FLORIDA",12,"BAKER COUNTY",3,28211,14701,13510,37.7,36.2,38.6,23279,3824,144,173,10,245,536,22873,721,406,66,63275
"GEORGIA",13,"ATKINSON COUNTY",3,8239,4179,4060,36.4,34.5,37.9,6196,1444,81,0,0,508,10,4657,2050,1539,10,37197
"HAWAII",15,"HONOLULU COUNTY",3,984821,496066,488755,37.9,36.2,39.7,206218,23603,1900,420093,93980,10332,228695,180889,96985,25329,1445,85857
"IDAHO",16,"ADAMS COUNTY",3,4097,2112,1985,55.2,55.4,54.9,3911,16,72,0,8,10,80,3774,147,137,0,48856
"ILLINOIS",17,"ALEXANDER COUNTY",3,6260,2991,3269,45.3,44.1,46.9,3954,2094,37,0,35,22,118,3929,82,25,0,36806
"INDIANA",18,"ALLEN COUNTY",3,372575,182088,190487,35.9,34.8,37.1,294017,42798,711,14159,158,6882,13850,275145,27818,18872,768,54857
"IOWA",19,"ADAMS COUNTY",3,3670,1830,1840,47.3,45.9,48.4,3620,2,4,9,0,27,8,3598,49,22,0,49255
"KANSAS",20,"ANDERSON COUNTY",3,7835,3891,3944,40.8,40,42.8,7577,39,164,1,0,0,54,7431,148,146,0,50213
"KENTUCKY",21,"ALLEN COUNTY",3,20944,10456,10488,40.7,39.9,41.4,20213,208,0,130,0,66,327,19901,452,312,0,44036
"LOUISIANA",22,"ALLEN PARISH",3,25618,14542,11076,38.2,37.3,40.8,18941,4845,530,152,0,440,710,18178,1592,763,122,46446
"MAINE",23,"AROOSTOOK COUNTY",3,67809,33546,34263,48,46.8,49.1,64373,682,1275,318,12,96,1053,63825,834,548,45,41123
"MARYLAND",24,"ANNE ARUNDEL COUNTY",3,571275,282621,288654,38.3,36.9,39.9,415470,95710,1175,21605,386,13578,23351,389750,44621,25720,2535,100798
"MASSACHUSETTS",25,"BERKSHIRE COUNTY",3,126425,61150,65275,47.1,45.2,48.7,114485,3548,338,2248,78,2209,3519,111388,5999,3097,233,59230
"MICHIGAN",26,"ALGER COUNTY",3,9151,5075,4076,49.5,45.4,52.6,7773,702,334,13,0,5,324,7650,144,123,0,45570
"MINNESOTA",27,"ANOKA COUNTY",3,350253,175259,174994,38.5,37.8,39.3,292866,21877,2373,15645,92,5688,11712,284641,15996,8225,371,82175
"MISSISSIPPI",28,"ALCORN COUNTY",3,37090,18218,18872,39.7,38.1,42.2,31319,4492,72,110,0,439,658,30735,1179,584,66,42086
"MISSOURI",29,"ANDREW COUNTY",3,17503,8740,8763,42.4,40.5,42.9,16686,240,45,61,122,28,321,16536,438,150,0,58772
"MONTANA",30,"BIG HORN COUNTY",3,13387,6680,6707,30.7,28.2,32.9,4009,4,8758,12,6,28,570,3584,852,425,0,49859
"NEBRASKA",31,"ANTELOPE COUNTY",3,6341,3186,3155,44.9,42.7,47.1,6168,63,6,15,0,65,24,6031,210,137,5,49912
"NEVADA",32,"CLARK COUNTY",3,2182004,1089228,1092776,37.3,36.6,38,1312652,255174,18693,212385,16407,249921,116772,933344,679381,379308,10111,59340
"NEW HAMPSHIRE",33,"CARROLL COUNTY",3,48138,23882,24256,52.3,51.5,53.1,46773,226,31,327,12,44,725,46129,713,644,1,63153
"NEW JERSEY",34,"BERGEN COUNTY",3,930390,451161,479229,41.9,40.4,43.3,666126,55381,1778,151965,361,30023,24756,526241,185238,139885,6132,101144
"NEW MEXICO",35,"CATRON COUNTY",3,3526,1944,1582,58.1,58.8,57.5,3451,0,2,0,0,73,0,2853,671,598,0,41910
"NEW YORK",36,"ALLEGANY COUNTY",3,46688,23678,23010,39.1,37.7,40.5,44565,700,107,548,15,216,537,44075,761,490,35,48412
"NORTH CAROLINA",37,"ALEXANDER COUNTY",3,37213,18940,18273,43.7,42.8,45.1,32622,2173,138,389,0,1382,509,32297,1743,325,0,48756
"NORTH DAKOTA",38,"BARNES COUNTY",3,10706,5325,5381,45.1,44.3,46,10046,239,183,109,7,16,106,9905,219,141,0,58365
"OHIO",39,"ALLEN COUNTY",3,103175,52045,51130,39.2,37.1,41.1,85161,12230,247,871,0,1067,3599,83272,3221,1889,15,53131
"ARIZONA",4,"COCHISE COUNTY",3,125867,63967,61900,41.1,39.3,43.4,107581,5132,1563,2445,482,3462,5202,69216,44626,38365,512,49260
"OKLAHOMA",40,"ALFALFA COUNTY",3,5847,3531,2316,44.2,44.3,43,4986,181,112,0,0,179,389,4902,329,84,0,61852
"OREGON",41,"BENTON COUNTY",3,91107,45794,45313,33,31.3,34.8,77177,982,605,6528,218,1696,3901,73083,6740,4094,45,62077
"PENNSYLVANIA",42,"ALLEGHENY COUNTY",3,1221744,590342,631402,40.8,38.7,43,976172,157060,1368,45389,362,6088,35305,959267,25777,16905,2084,61043
"RHODE ISLAND",44,"KENT COUNTY",3,163869,79292,84577,43.9,41.6,45.6,149642,3157,525,4474,16,2304,3751,144749,8157,4893,517,73521
"SOUTH CAROLINA",45,"AIKEN COUNTY",3,168301,81237,87064,41,39.8,42.6,118946,42002,549,1570,80,1043,4111,111410,9622,7536,631,51399
"SOUTH DAKOTA",46,"AURORA COUNTY",3,2763,1461,1302,37.8,35.6,40.9,2548,46,63,0,0,66,40,2439,202,109,0,64083
"TENNESSEE",47,"BEDFORD COUNTY",3,48292,23834,24458,37.9,35.9,39.4,41129,3908,111,96,21,1947,1080,37090,5987,4039,86,50415
"TEXAS",48,"ANDREWS COUNTY",3,18036,9174,8862,30.8,30.4,32.1,16108,122,0,65,31,1094,616,7246,10151,8862,0,76158
"UTAH",49,"BOX ELDER COUNTY",3,53946,27550,26396,32.6,31.6,33.9,50233,353,634,422,59,1414,831,46930,5093,3303,42,62233
"ARKANSAS",5,"ASHLEY COUNTY",3,20270,9825,10445,41.7,39.8,43.4,14682,5150,45,39,0,217,137,13831,1101,851,27,44744
"VERMONT",50,"BENNINGTON COUNTY",3,35746,17487,18259,46.7,44.8,48.2,34210,247,89,360,92,126,622,33643,717,567,49,56183
"VIRGINIA",51,"ALBEMARLE COUNTY",3,107405,51363,56042,39.1,37.5,40.5,87831,10245,271,5590,41,822,2605,82656,6200,5175,75,79880
"WASHINGTON",53,"ASOTIN COUNTY",3,22421,10868,11553,45,44.3,45.9,20731,116,256,192,51,210,865,20262,900,469,3,53715
"WEST VIRGINIA",54,"BERKELEY COUNTY",3,115329,56868,58461,38.8,38.7,39,100097,9039,89,1242,0,1404,3458,96756,5078,3341,506,62515
"WISCONSIN",55,"ASHLAND COUNTY",3,15617,7905,7712,42,40.3,43.1,13094,117,1852,73,6,52,423,12863,450,231,1,42510
"WYOMING",56,"BIG HORN COUNTY",3,11882,6071,5811,41.6,41.1,41.8,11028,52,99,58,5,454,186,10426,1066,602,0,52804
"CALIFORNIA",6,"ALPINE COUNTY",3,1039,554,485,52.2,52.4,50.5,599,9,353,10,6,9,53,551,130,48,0,63750
"COLORADO",8,"ALAMOSA COUNTY",3,16107,8059,8048,31.8,30.5,33.2,13918,144,534,213,74,783,441,7672,7533,6246,65,37515
"CONNECTICUT",9,"HARTFORD COUNTY",3,893561,433975,459586,40.4,38.5,42.3,631471,123117,2963,47734,280,56134,31862,545642,161079,85829,7480,75148
"GEORGIA",13,"WARREN COUNTY",301,5297,2469,2828,45.1,43.3,45.8,1986,3237,0,32,0,4,38,1986,25,0,0,37203
"TEXAS",48,"LOVING COUNTY",301,98,54,44,55.2,48.5,55.5,95,0,3,0,0,0,0,83,12,12,0,83750
"GEORGIA",13,"WASHINGTON COUNTY",303,20436,10465,9971,41.5,38.9,44.5,8909,10856,48,137,0,159,327,8691,506,218,101,38068
"TEXAS",48,"LUBBOCK COUNTY",303,304808,150307,154501,30.8,29.6,32.1,250230,21279,3123,6728,318,14402,8728,162989,107993,87241,1154,52429
"GEORGIA",13,"WAYNE COUNTY",305,29788,14998,14790,38.9,38.3,40.3,22251,6127,31,182,0,405,792,21200,1866,1051,97,45483
"TEXAS",48,"LYNN COUNTY",305,5830,3011,2819,37.3,36.5,37.9,5199,65,16,46,6,223,275,2874,2753,2325,24,43382
"GEORGIA",13,"WEBSTER COUNTY",307,2610,1272,1338,45.1,43.7,45.6,1390,971,9,0,0,191,49,1353,228,37,0,37297
"TEXAS",48,"MCCULLOCH COUNTY",307,8057,4366,3691,44.6,37.9,49.1,6668,87,26,60,0,807,409,4875,2603,1793,0,47707
"GEORGIA",13,"WHEELER COUNTY",309,7928,5012,2916,38.8,29.6,46.7,4465,3440,0,0,0,0,23,4454,11,11,0,30192
"TEXAS",48,"MCLENNAN COUNTY",309,251089,122580,128509,33.3,31.7,34.6,196885,36746,1089,4053,133,6552,5631,140429,66148,56456,939,49778
"ALABAMA",1,"COFFEE COUNTY",31,51662,25479,26183,39.3,38.1,40.5,39118,8733,640,745,0,696,1730,36239,3763,2879,53,55637
"FLORIDA",12,"DUVAL COUNTY",31,936186,454084,482102,36.2,34.9,37.7,559532,277195,2328,43297,584,19352,33898,495030,91153,64502,4237,55807
"GEORGIA",13,"BULLOCH COUNTY",31,76120,37316,38804,28.8,27.4,30.2,49581,21245,301,990,199,1138,2666,48323,3034,1258,112,45550
"IDAHO",16,"CASSIA COUNTY",31,23690,12047,11643,32.9,31.4,34.1,22067,52,277,139,14,819,322,16546,6446,5521,0,52935
"ILLINOIS",17,"COOK COUNTY",31,5198275,2522949,2675326,36.8,35.6,38,2946314,1217416,14911,379444,1982,500069,138139,2198122,1314796,748192,18241,64660
"INDIANA",18,"DECATUR COUNTY",31,26562,13182,13380,39.2,37.7,40.7,25655,173,138,387,0,28,181,25241,533,414,0,57949
"IOWA",19,"CEDAR COUNTY",31,18457,9179,9278,42.7,41.6,44.2,17988,260,49,67,0,11,82,17635,377,353,0,67795
"KANSAS",20,"COFFEY COUNTY",31,8254,4204,4050,43.8,42,45.8,7893,66,21,8,0,12,254,7700,222,193,0,59583
"KENTUCKY",21,"BUTLER COUNTY",31,12764,6420,6344,41.3,40,42.3,12366,81,20,40,5,109,143,12089,419,277,11,41763
"LOUISIANA",22,"DE SOTO PARISH",31,27289,13298,13991,39.3,37,41.4,16770,9663,254,27,11,26,538,16039,785,731,20,46006
"MAINE",23,"YORK COUNTY",31,204316,99651,104665,45.2,43.8,46.5,195143,1778,903,2580,53,456,3403,192542,3507,2601,154,67830
"MARYLAND",24,"MONTGOMERY COUNTY",31,1043530,504128,539402,39.2,37.9,40.5,553846,192639,3273,154340,467,93555,45410,457265,203754,96581,5675,108820
"MICHIGAN",26,"CHEBOYGAN COUNTY",31,25418,12713,12705,51.1,50,52.1,23683,205,527,111,0,52,840,23399,366,284,5,48044
"MINNESOTA",27,"COOK COUNTY",31,5376,2661,2715,52.6,52.1,53.2,4634,4,474,50,0,78,136,4597,124,37,0,57432
"MISSISSIPPI",28,"COVINGTON COUNTY",31,18978,9253,9725,37.3,36.1,39.1,11886,6946,36,0,0,2,108,11470,452,416,0,38178
"MISSOURI",29,"CAPE GIRARDEAU COUNTY",31,78491,37976,40515,36.5,35.4,37.6,68877,5788,104,1348,32,293,2049,67460,1827,1417,11,53732
"MONTANA",30,"GALLATIN COUNTY",31,108063,56112,51951,33.4,32.6,34.2,101395,426,966,1472,7,1084,2713,99001,4032,2394,1,66397
